Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-02-11T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.823	
2014-02-11T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.173	
2014-02-11T00:00:00Z	3570	Midland	SK05864800	Cauldon Low RAIN	Rainfall	Tipping Bucket Raingauge	mm	0.0	
2014-02-11T00:00:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T00:00:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T00:00:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.605	
2014-02-11T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.823	
2014-02-11T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.171	
2014-02-11T00:15:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T00:15:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T00:15:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.605	
2014-02-11T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.822	
2014-02-11T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.170	
2014-02-11T00:30:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T00:30:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T00:30:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.607	
2014-02-11T00:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.822	
2014-02-11T00:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.168	
2014-02-11T00:45:00Z	E27452	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Stage	m	2.674	
2014-02-11T00:45:00Z	E27454	Anglian		GRIMSBY GREAT COATES BRIDGE GS	Water Level	Downstream Stage	m	2.240	
2014-02-11T00:45:00Z	E9183	Southern	TQ1217123464	COOLHAM GS	Water Level	Stage	mAOD	-32.605	
2014-02-11T01:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.822	
2014-02-11T01:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.167	
2014-02-11T01:00:00Z	3570	Midland	SK05864800	Cauldon Low RAIN	Rainfall	Tipping Bucket Raingauge	mm	0.0	
